instance,weight,satisfied_clauses,clauses,true_variables,variables,current_objective_history,best_objective_history
wuf20-037.mwcnf,4403,61,71,19,21,[],[]
wuf20-0370.mwcnf,3527,59,71,20,21,[],[]
wuf20-0371.mwcnf,4114,61,71,18,21,[],[]
wuf20-0372.mwcnf,3802,64,71,18,21,[],[]
wuf20-0373.mwcnf,3592,65,71,20,21,[],[]
wuf20-0374.mwcnf,3575,57,71,18,21,[],[]
wuf20-0375.mwcnf,3499,65,71,18,21,[],[]
wuf20-0376.mwcnf,4919,61,71,19,21,[],[]
wuf20-0377.mwcnf,5200,65,71,18,21,[],[]
wuf20-0378.mwcnf,4692,64,71,18,21,[],[]
wuf20-0379.mwcnf,4645,62,71,18,21,[],[]
wuf20-038.mwcnf,4074,62,71,19,21,[],[]
wuf20-0380.mwcnf,3842,64,71,19,21,[],[]
wuf20-0381.mwcnf,5392,64,71,19,21,[],[]
wuf20-0382.mwcnf,4064,58,71,19,21,[],[]
wuf20-0383.mwcnf,3977,64,71,19,21,[],[]
wuf20-0384.mwcnf,4383,61,71,19,21,[],[]
wuf20-0385.mwcnf,3803,55,71,18,21,[],[]
wuf20-0386.mwcnf,5740,65,71,20,21,[],[]
wuf20-0387.mwcnf,3864,64,71,18,21,[],[]
wuf20-0388.mwcnf,4598,62,71,19,21,[],[]
wuf20-0389.mwcnf,3584,58,71,18,21,[],[]
wuf20-039.mwcnf,4326,58,71,19,21,[],[]
wuf20-0390.mwcnf,4296,67,71,18,21,[],[]
wuf20-0391.mwcnf,4484,62,71,18,21,[],[]
wuf20-0392.mwcnf,4903,66,71,19,21,[],[]
wuf20-0393.mwcnf,4334,58,71,18,21,[],[]
wuf20-0394.mwcnf,3773,57,71,18,21,[],[]
wuf20-0395.mwcnf,4934,67,71,18,21,[],[]
wuf20-0396.mwcnf,4005,62,71,19,21,[],[]
wuf20-0397.mwcnf,3843,57,71,19,21,[],[]
wuf20-0398.mwcnf,5300,64,71,19,21,[],[]
wuf20-0399.mwcnf,4196,57,71,20,21,[],[]
wuf20-04.mwcnf,7297,60,71,20,21,[],[]
wuf20-040.mwcnf,4143,63,71,19,21,[],[]
wuf20-0400.mwcnf,5154,67,71,19,21,[],[]
wuf20-0401.mwcnf,5675,67,71,20,21,[],[]
wuf20-0402.mwcnf,3331,63,71,19,21,[],[]
wuf20-0403.mwcnf,5396,65,71,19,21,[],[]
wuf20-0404.mwcnf,3503,57,71,18,21,[],[]
wuf20-0405.mwcnf,3513,56,71,19,21,[],[]
wuf20-0406.mwcnf,4451,64,71,19,21,[],[]
wuf20-0407.mwcnf,4280,62,71,19,21,[],[]
wuf20-0408.mwcnf,5449,67,71,19,21,[],[]
wuf20-0409.mwcnf,3524,61,71,18,21,[],[]
wuf20-041.mwcnf,4695,66,71,18,21,[],[]
wuf20-0410.mwcnf,5244,62,71,19,21,[],[]
wuf20-0411.mwcnf,5272,66,71,19,21,[],[]
wuf20-0412.mwcnf,4230,63,71,19,21,[],[]
wuf20-0413.mwcnf,5171,60,71,18,21,[],[]
wuf20-0414.mwcnf,4942,64,71,18,21,[],[]
wuf20-0415.mwcnf,3001,57,71,19,21,[],[]
wuf20-0416.mwcnf,4931,66,71,19,21,[],[]
wuf20-0417.mwcnf,4737,62,71,19,21,[],[]
wuf20-0418.mwcnf,4659,63,71,19,21,[],[]
wuf20-0419.mwcnf,3735,58,71,18,21,[],[]
wuf20-042.mwcnf,6722,61,71,18,21,[],[]
wuf20-0420.mwcnf,4568,62,71,19,21,[],[]
wuf20-0421.mwcnf,3456,63,71,18,21,[],[]
wuf20-0422.mwcnf,8758,64,71,19,21,[],[]
wuf20-0423.mwcnf,6221,59,71,18,21,[],[]
wuf20-0424.mwcnf,7355,63,71,20,21,[],[]
wuf20-0425.mwcnf,6953,68,71,18,21,[],[]
wuf20-0426.mwcnf,7446,63,71,19,21,[],[]
wuf20-0427.mwcnf,7077,62,71,20,21,[],[]
wuf20-0428.mwcnf,5701,62,71,19,21,[],[]
wuf20-0429.mwcnf,8696,65,71,19,21,[],[]
wuf20-043.mwcnf,6448,58,71,20,21,[],[]
wuf20-0430.mwcnf,6280,62,71,20,21,[],[]
wuf20-0431.mwcnf,7750,63,71,20,21,[],[]
wuf20-0432.mwcnf,7972,64,71,19,21,[],[]
wuf20-0433.mwcnf,6998,57,71,19,21,[],[]
wuf20-0434.mwcnf,7497,61,71,19,21,[],[]
wuf20-0435.mwcnf,7263,64,71,19,21,[],[]
wuf20-0436.mwcnf,7464,62,71,19,21,[],[]
wuf20-0437.mwcnf,5020,57,71,18,21,[],[]
wuf20-0438.mwcnf,6652,63,71,19,21,[],[]
wuf20-0439.mwcnf,7784,64,71,19,21,[],[]
wuf20-044.mwcnf,5697,57,71,18,21,[],[]
wuf20-0440.mwcnf,5922,58,71,19,21,[],[]
wuf20-0441.mwcnf,7563,63,71,19,21,[],[]
wuf20-0442.mwcnf,5873,66,71,20,21,[],[]
wuf20-0443.mwcnf,6873,63,71,20,21,[],[]
wuf20-0444.mwcnf,6042,60,71,18,21,[],[]
wuf20-0445.mwcnf,6200,58,71,18,21,[],[]
wuf20-0446.mwcnf,6472,66,71,20,21,[],[]
wuf20-0447.mwcnf,7430,63,71,19,21,[],[]
wuf20-0448.mwcnf,9035,64,71,19,21,[],[]
wuf20-0449.mwcnf,6914,62,71,18,21,[],[]
wuf20-045.mwcnf,7245,62,71,19,21,[],[]
wuf20-0450.mwcnf,5884,57,71,18,21,[],[]
wuf20-0451.mwcnf,6452,61,71,18,21,[],[]
wuf20-0452.mwcnf,6396,64,71,19,21,[],[]
wuf20-0453.mwcnf,5210,57,71,18,21,[],[]
wuf20-0454.mwcnf,7138,61,71,18,21,[],[]
wuf20-0455.mwcnf,7479,61,71,19,21,[],[]
wuf20-0456.mwcnf,8611,63,71,20,21,[],[]
wuf20-0457.mwcnf,6974,57,71,19,21,[],[]
wuf20-0458.mwcnf,7506,61,71,19,21,[],[]
wuf20-0459.mwcnf,6081,60,71,19,21,[],[]
wuf20-046.mwcnf,6914,60,71,19,21,[],[]
wuf20-0460.mwcnf,7809,64,71,19,21,[],[]
wuf20-0461.mwcnf,8647,63,71,20,21,[],[]
wuf20-0462.mwcnf,9462,66,71,19,21,[],[]
wuf20-0463.mwcnf,6680,65,71,18,21,[],[]
wuf20-0464.mwcnf,5533,57,71,19,21,[],[]
wuf20-0465.mwcnf,6569,64,71,19,21,[],[]
wuf20-0466.mwcnf,5583,49,71,18,21,[],[]
wuf20-0467.mwcnf,6022,57,71,19,21,[],[]
wuf20-0468.mwcnf,6379,63,71,18,21,[],[]
wuf20-0469.mwcnf,6683,64,71,20,21,[],[]
wuf20-047.mwcnf,7343,63,71,19,21,[],[]
wuf20-0470.mwcnf,7408,63,71,19,21,[],[]
wuf20-0471.mwcnf,7136,62,71,19,21,[],[]
wuf20-0472.mwcnf,8327,67,71,19,21,[],[]
wuf20-0473.mwcnf,8363,64,71,19,21,[],[]
wuf20-0474.mwcnf,7940,64,71,19,21,[],[]
wuf20-0475.mwcnf,7874,64,71,21,21,[],[]
wuf20-0476.mwcnf,7408,64,71,18,21,[],[]
wuf20-0477.mwcnf,7639,63,71,19,21,[],[]
wuf20-0478.mwcnf,7489,61,71,20,21,[],[]
wuf20-0479.mwcnf,6525,59,71,18,21,[],[]
wuf20-048.mwcnf,7665,61,71,18,21,[],[]
wuf20-0480.mwcnf,8007,66,71,18,21,[],[]
wuf20-0481.mwcnf,7590,60,71,18,21,[],[]
wuf20-0482.mwcnf,7232,63,71,19,21,[],[]
wuf20-0483.mwcnf,6131,61,71,18,21,[],[]
wuf20-0484.mwcnf,6441,66,71,19,21,[],[]
wuf20-0485.mwcnf,6398,66,71,18,21,[],[]
wuf20-0486.mwcnf,5795,65,71,19,21,[],[]
wuf20-0487.mwcnf,8672,64,71,19,21,[],[]
wuf20-0488.mwcnf,7756,59,71,19,21,[],[]
wuf20-0489.mwcnf,8152,63,71,19,21,[],[]
wuf20-049.mwcnf,8030,65,71,20,21,[],[]
wuf20-0490.mwcnf,8476,66,71,19,21,[],[]
wuf20-0491.mwcnf,8310,67,71,18,21,[],[]
wuf20-0492.mwcnf,7164,65,71,19,21,[],[]
wuf20-0493.mwcnf,6334,60,71,18,21,[],[]
wuf20-0494.mwcnf,7594,62,71,18,21,[],[]
wuf20-0495.mwcnf,7009,61,71,20,21,[],[]
wuf20-0496.mwcnf,7678,66,71,18,21,[],[]
wuf20-0497.mwcnf,5076,61,71,18,21,[],[]
wuf20-0498.mwcnf,7529,66,71,18,21,[],[]
wuf20-0499.mwcnf,8285,66,71,18,21,[],[]
wuf20-05.mwcnf,6640,63,71,19,21,[],[]
wuf20-050.mwcnf,7083,60,71,19,21,[],[]
wuf20-0500.mwcnf,6194,55,71,20,21,[],[]
wuf20-0501.mwcnf,7226,60,71,18,21,[],[]
wuf20-0502.mwcnf,7587,65,71,20,21,[],[]
wuf20-0503.mwcnf,6577,56,71,20,21,[],[]
wuf20-0504.mwcnf,6366,58,71,19,21,[],[]
wuf20-0505.mwcnf,7779,62,71,19,21,[],[]
wuf20-0506.mwcnf,8892,65,71,19,21,[],[]
wuf20-0507.mwcnf,6207,60,71,19,21,[],[]
wuf20-0508.mwcnf,5423,60,71,19,21,[],[]
wuf20-0509.mwcnf,5465,54,71,18,21,[],[]
wuf20-051.mwcnf,7413,63,71,18,21,[],[]
wuf20-0510.mwcnf,5759,61,71,19,21,[],[]
wuf20-0511.mwcnf,7737,65,71,18,21,[],[]
wuf20-0512.mwcnf,7129,62,71,19,21,[],[]
wuf20-0513.mwcnf,6673,62,71,19,21,[],[]
